second,speed,upper,lower
0,0.0,0.6014299622264028,-0.6014299622264028
1,1.8,3.6477764258228653,-0.047776425822865454
2,3.6,4.181719668753006,3.0182803312469937
3,5.4,8.051965915224752,2.748034084775249
4,7.2,8.162706069176501,6.237293930823499
5,9.0,10.020736016120047,7.979263983879954
6,10.8,12.55358973601405,9.046410263985951
7,12.6,12.842903253869338,12.357096746130662
8,14.4,16.01104518477457,12.788954815225429
9,16.6,18.102599302530333,15.09740069746967
10,14.4,16.87776131711539,11.922238682884611
11,12.6,13.20517928587548,11.994820714124518
12,10.8,11.018788993047451,10.58121100695255
13,9.0,9.470893886100246,8.529106113899754
14,7.2,7.584911843151379,6.8150881568486215
15,5.4,5.447678925724405,5.352321074275595
16,3.6,4.211052194975746,2.988947805024254
17,1.8,2.966219909668919,0.6337800903310811
18,0.0,0.23257966737469238,-0.23257966737469238
